yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY80425	Q4J9V5	Q4J9V5_SULAC	unreviewed	Transcriptional regulator ArsR family	Saci_1068	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	101
AAY81397	Q4J734	Q4J734_SULAC	unreviewed	Conserved protein	Saci_2103	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	209
AAY80393	Q4J9Y7	Q4J9Y7_SULAC	unreviewed	Peptide transport system permease protein	Saci_1036	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	292
AAY81069	Q4J813	Q4J813_SULAC	unreviewed	Oligopeptide transport system permease protein	appC Saci_1763	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	475
AAY80394	Q4J9Y5	Q4J9Y5_SULAC	unreviewed	Peptide transport system permease protein	Saci_1037	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	351
AAY81068	Q4J814	Q4J814_SULAC	unreviewed	Binding-protein-dependent transporter	Saci_1762	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	352
AAY80470	Q4J9Q8	Q4J9Q8_SULAC	unreviewed	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Saci_1118	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	428
AAY81328	Q4J7A2	Q4J7A2_SULAC	unreviewed	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Saci_2032	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	431
AAY79638	Q4JC41	Q4JC41_SULAC	unreviewed	Conserved Archaeal protein	Saci_0219	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	332
AAY80716	Q4J914	Q4J914_SULAC	unreviewed	Glycine cleavage system T protein (EC 2.1.2.10)	gcsT Saci_1383	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	351
AAY80964	Q4J8B7	Q4J8B7_SULAC	unreviewed	Conserved Archaeal protein	Saci_1654	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	367
AAY79728	Q4JBV1	Q4JBV1_SULAC	unreviewed	Citryl-CoA lyase beta subunit-like protein	citE Saci_0312	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	270
AAY81205	Q4J7M7	Q4J7M7_SULAC	unreviewed	Conserved protein	Saci_1902	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	140
AAY80176	Q4JAK3	Q4JAK3_SULAC	unreviewed	Phosphoglucomutase/phosphomannomutase	Saci_0806	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	454
AAY81564	Q4J6L7	Q4J6L7_SULAC	unreviewed	Intracellular proteinase	Saci_2278	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	175
AAY79611	Q4JC68	XPD_SULAC	reviewed	ATP-dependent DNA helicase Saci_0192 (EC 3.6.4.12)	Saci_0192	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	551
AAY79566	Q4JCB3	Q4JCB3_SULAC	unreviewed	Thioesterase (EC 3.1.2.-)	Saci_0145	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	311
AAY80427	Q4J9V3	Q4J9V3_SULAC	unreviewed	Conserved Prokaryal protein	Saci_1070	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	145
AAY80440	Q4J9U0	Q4J9U0_SULAC	unreviewed	Conserved Prokaryal protein	Saci_1085	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	167
AAY79729	Q4JBV0	Q4JBV0_SULAC	unreviewed	Conserved Archaeal protein	Saci_0313	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	134
AAY81575	Q4J6K6	Q4J6K6_SULAC	unreviewed	Conserved Archaeal protein	Saci_2289	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	136
CAA69099	O05643	RL15_SULAC	reviewed	50S ribosomal protein L15	rpl15 Saci_0575	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	144
AAY79511	P39474	RL18E_SULAC	reviewed	50S ribosomal protein L18e (HL29e)	rpl18e Saci_0084	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	118
AAY79972	O05638	RL32_SULAC	reviewed	50S ribosomal protein L32e	rpl32e Saci_0580	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	125
AAY79981	Q4JB48	Q4JB48_SULAC	unreviewed	Conserved protein	Saci_0589	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	69
AAY81311	Q4J7C8	Q4J7C8_SULAC	unreviewed	CRISPR-associated exonuclease Cas4 (EC 3.1.12.1)	Saci_2012	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	133
AAY79690	Q4JBY9	Q4JBY9_SULAC	unreviewed	CRISPR-associated exonuclease Cas4 (EC 3.1.12.1)	Saci_0274	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	203
AAY79991	P46215	SYI_SULAC	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS Saci_0599	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	1050
AAY80759	Q4J8X1	SYV_SULAC	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS Saci_1430	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	831
AAY79789	Q4JBP0	SYL1_SULAC	reviewed	Leucine--tRNA ligase 1 (EC 6.1.1.4) (Leucyl-tRNA synthetase 1) (LeuRS 1)	leuS1 Saci_0373	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	942
AAY80885	Q4J8J7	SYL2_SULAC	reviewed	Leucine--tRNA ligase 2 (EC 6.1.1.4) (Leucyl-tRNA synthetase 2) (LeuRS 2)	leuS2 Saci_1572	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	942
AAY80857	Q4J8M3	SYM_SULAC	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG Saci_1544	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	571
AAY81258	Q4J7H3	Q4J7H3_SULAC	unreviewed	Conserved protein	Saci_1955	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	75
AAY81273	Q4J7F7	Q4J7F7_SULAC	unreviewed	Conserved protein	Saci_1970	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	80
AAY79526	Q4JCF3	Q4JCF3_SULAC	unreviewed	Conserved protein	Saci_0101	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	53
AAY80558	Q4J9H2	Q4J9H2_SULAC	unreviewed	Conserved protein	Saci_1212	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	54
AAY81479	Q4J6V3	Q4J6V3_SULAC	unreviewed	SpoVT-AbrB domain-containing protein	Saci_2193	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	86
AAY81286	Q4J7E3	Q4J7E3_SULAC	unreviewed	SpoVT-AbrB domain-containing protein	Saci_1984	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	84
AAY81446	Q4J6Y7	Q4J6Y7_SULAC	unreviewed	Acetyltransferase	Saci_2153	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	155
AAY81570	Q4J6L1	Q4J6L1_SULAC	unreviewed	N-acetyltransferase	Saci_2284	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	155
AAY79500	Q4JCH9	Q4JCH9_SULAC	unreviewed	Acetyltransferase	Saci_0073	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	154
AAY79869	Q4JBG0	NAT_SULAC	reviewed	N-alpha-acetyltransferase (NAT) (EC 2.3.1.255) (EC 2.3.1.258) (Amino-terminal acetyltransferase) (N-terminal acetyltransferase)	Saci_0459	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	168
AAY81447	Q4J6Y3	Q4J6Y3_SULAC	unreviewed	NAD-dependent malic enzyme (EC 1.1.1.38)	Saci_2154	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	427
AAY80411	Q4J9W4	Q4J9W4_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase	Saci_1054	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	552
AAY80439	Q4J9U1	Q4J9U1_SULAC	unreviewed	Acyl-CoA synthetase (EC 6.2.1.-)	acs Saci_1084	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	505
AAY80463	Q4J9R7	Q4J9R7_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase	Saci_1111	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	550
AAY80474	Q4J9Q6	Q4J9Q6_SULAC	unreviewed	Acyl-CoA synthetase (EC 6.2.1.-)	Saci_1122	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	537
AAY80478	Q4J9Q2	Q4J9Q2_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase	Saci_1126	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	550
AAY81085	Q4J7Z6	Q4J7Z6_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase (EC 6.2.1.-)	alkK Saci_1779	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	513
AAY81269	Q4J7G2	Q4J7G2_SULAC	unreviewed	Long-chain-fatty-acid-CoA ligase (EC 6.2.1.3)	fadD Saci_1966	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	511
AAY81441	Q4J6Y9	Q4J6Y9_SULAC	unreviewed	Long-chain-fatty-acid-CoA ligase (EC 6.2.1.3)	fadD Saci_2148	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	555
AAY81497	Q4J6T2	Q4J6T2_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase	Saci_2211	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	555
AAY81511	Q4J6S0	Q4J6S0_SULAC	unreviewed	Medium-chain-fatty-acid-CoA ligase (EC 6.2.1.-)	Saci_2225	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	541
AAY81493	Q4J6T8	Q4J6T8_SULAC	unreviewed	4-coumarate-CoA ligase 1 (EC 6.2.1.12)	Saci_2207	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	495
AAY80644	Q4J986	PYRH_SULAC	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH Saci_1306	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	227
AAY80742	Q4J8Y8	Q4J8Y8_SULAC	unreviewed	Aspartokinase (EC 2.7.2.4)	Saci_1412	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	447
AAY80127	Q4JAQ2	LYSZ_SULAC	reviewed	[LysW]-aminoadipate/[LysW]-glutamate kinase (EC 2.7.2.-) (EC 2.7.2.17)	lysZ Saci_0751	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	261
AAY80862	Q4J8L8	VATB_SULAC	reviewed	V-type ATP synthase beta chain (V-ATPase subunit B)	atpB Saci_1549	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	466
AAY80861	Q4J8L9	VATA_SULAC	reviewed	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	atpA Saci_1548	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	592
AAY80860	Q4J8M1	VATE_SULAC	reviewed	V-type ATP synthase subunit E (V-ATPase subunit E)	atpE Saci_1547	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	192
AAY80661	Q4J968	Q4J968_SULAC	unreviewed	DNA helicase (EC 3.6.4.12)	Saci_1326	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	467
AAY80967	Q4J8B5	Q4J8B5_SULAC	unreviewed	Conserved Archaeal protein	Saci_1657	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	443
AAY79525	Q4JCF4	Q4JCF4_SULAC	unreviewed	Conserved Archaeal protein	Saci_0100	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	243
AAY80635	Q4J996	Q4J996_SULAC	unreviewed	Deoxyribonuclease (EC 3.1.21.-)	Saci_1294	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	229
AAY80368	Q4JA13	Q4JA13_SULAC	unreviewed	Glycosyl transferase	Saci_1011	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	222
AAY81212	Q4J7L9	Q4J7L9_SULAC	unreviewed	Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117)	Saci_1909	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	244
AAY79580	Q4JC99	Q4JC99_SULAC	unreviewed	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	Saci_0159	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	213
AAY81062	Q4J815	Q4J815_SULAC	unreviewed	Type-5 uracil-DNA glycosylase	Saci_1756	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	172
AGE71208	M1I511	M1I511_9CREN	unreviewed	Ribosome biogenesis protein Nop10	nop10 SacN8_06215	Sulfolobus acidocaldarius N8	56
AAY79447	Q4JCN2	Q4JCN2_SULAC	unreviewed	Conserved Archaeal protein	Saci_0017	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	140
CAD31976	Q55338	PYRB_SULAC	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB Saci_1596	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	299
AAY80738	Q4J8Z2	OTC_SULAC	reviewed	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF Saci_1408	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	306
AAY80131	Q4JAP8	LYSJ_SULAC	reviewed	[LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase (EC 2.6.1.-) (EC 2.6.1.118)	lysJ argD Saci_0755	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	387
AAY80385	Q4JA07	Q4JA07_SULAC	unreviewed	Aminotransferase (EC 2.6.1.-)	Saci_1028	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	429
AAY81430	Q4J715	Q4J715_SULAC	unreviewed	Class-III aminotransferase (EC 2.6.1.-)	Saci_2137	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	444
AAY80152	Q4JAM7	GSA_SULAC	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Saci_0779	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	420
AAY80871	Q4J8L0	Q4J8L0_SULAC	unreviewed	Holliday junction resolvase Hjc (Hjc) (EC 3.1.22.4)	hjc Saci_1558	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	143
AAY81047	Q4J834	Q4J834_SULAC	unreviewed	Conserved Archaeal holliday junction resolvase	hjc Saci_1741	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	139
AAY80100	Q4JAS9	Q4JAS9_SULAC	unreviewed	UPF0215 protein Saci_0721	Saci_0721	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	178
AAY79940	Q4JB89	NFI_SULAC	reviewed	Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)	nfi Saci_0544	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	196
AAY80800	Q4J8T0	MOAA_SULAC	reviewed	Probable GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA Saci_1479	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	313
AAY79935	Q4JB94	Q4JB94_SULAC	unreviewed	Uncharacterized protein	Saci_0535	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199
AAY79498	Q4JCI1	Q4JCI1_SULAC	unreviewed	Conserved Archaeal protein	Saci_0071	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	337
AAY79712	Q4JBW7	Q4JBW7_SULAC	unreviewed	Predicted Fe-S oxidoreductases	Saci_0296	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	339
AAY79790	Q4JBN9	Q4JBN9_SULAC	unreviewed	Conserved Archaeal protein	Saci_0374	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	347
AAY80810	Q4J8R4	Q4J8R4_SULAC	unreviewed	Conserved Archaeal protein	Saci_1489	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	323
AAY80943	Q4J8D6	Q4J8D6_SULAC	unreviewed	Conserved Archaeal protein	Saci_1632	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	351
AAY80342	Q4JA38	Q4JA38_SULAC	unreviewed	Succinate dehydrogenase subunit B	sdhB Saci_0981	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	317
AAY79750	Q4JBS9	Q4JBS9_SULAC	unreviewed	Metabolism heterodisulfide reductase C (EC 1.-.-.-)	hdrC Saci_0334	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	280
AAY79742	Q4JBT7	Q4JBT7_SULAC	unreviewed	4Fe-4S binding domain protein	Saci_0326	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	230
AAY80987	Q4J894	TRM10_SULAC	reviewed	tRNA (adenine(9)-N1)-methyltransferase (EC 2.1.1.218) (tRNA(m1A9)-methyltransferase) (tRNA(m1A9)MTase)	Saci_1677	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	292
AAY79693	Q4JBY6	Y277_SULAC	reviewed	UPF0282 protein Saci_0277	Saci_0277	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	309
AAY80046	Q4JAY3	PSB1_SULAC	reviewed	Proteasome subunit beta 1 (EC 3.4.25.1) (20S proteasome beta subunit 1) (Proteasome core protein PsmB 1)	psmB1 Saci_0662	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	195
AAY80272	Q4JAA8	PSB2_SULAC	reviewed	Proteasome subunit beta 2 (EC 3.4.25.1) (20S proteasome beta subunit 2) (Proteasome core protein PsmB 2)	psmB2 Saci_0909	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	203
AAY80096	Q4JAT3	Q4JAT3_SULAC	unreviewed	NOL1/NOP2/sun family protein	Saci_0717	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	334
AAY80808	Q4J8R6	Q4J8R6_SULAC	unreviewed	tRNA (cytosine(72)-C(5))-methyltransferase (tRNA:m(5)C72 MTase) (EC 2.1.1.-)	Saci_1487	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	349
AAY80400	Q4J9Y1	Q4J9Y1_SULAC	unreviewed	NOL1/NOP2/sun family protein	Saci_1042	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	367
AAY81598	Q4J6I1	Q4J6I1_SULAC	unreviewed	tRNA and rRNA cytosine-C5-methylase	Saci_2312	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	350
AAY79846	Q4JBI3	Q4JBI3_SULAC	unreviewed	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (EC 2.1.1.77)	Saci_0434	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	216
AAY79812	Q4JBL7	CBIT_SULAC	reviewed	Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) (EC 2.1.1.196)	cbiT Saci_0396	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	192
AAY80211	Q4JAG8	Q4JAG8_SULAC	unreviewed	Conserved Archaeal protein	Saci_0844	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	255
AAY80029	Q4JB00	Q4JB00_SULAC	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Saci_0641	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	239
AAY80028	Q4JB01	G1PDH_SULAC	reviewed	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (EC 1.1.1.261) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)	egsA Saci_0640	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	351
AAY79603	Q4JC76	AROB_SULAC	reviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB Saci_0184	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	353
AAY80442	Q4J9T9	Q4J9T9_SULAC	unreviewed	Dehydrogenase (EC 1.-.-.-)	Saci_1087	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	328
AAY80367	Q4JA10	Q4JA10_SULAC	unreviewed	Conserved Archaeal protein	Saci_1010	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	162
AAY80179	Q4JAK0	Q4JAK0_SULAC	unreviewed	tRNA pseudouridine synthase (EC 4.2.1.70)	tru Saci_0811	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	319
AAY80043	Q4JAY6	ATGT_SULAC	reviewed	tRNA-guanine(15) transglycosylase (EC 2.4.2.48) (7-cyano-7-deazaguanine tRNA-ribosyltransferase) (Archaeal tRNA-guanine transglycosylase)	tgtA Saci_0659	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	498
AAY80041	Q4JAY8	Q4JAY8_SULAC	unreviewed	Conserved Archaeal PUA domain protein	Saci_0657	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	168
